# PrismNet Datasets with Zero Leakage (0.8 identity threshold)
# Total: 158/172 datasets (91.9%)
# Format: dataset | max_identity | mean_identity

FAM120A_K562.h5                | 0.426 | 0.253
FASTKD2_K562.h5                | 0.455 | 0.255
FBL_HEK293.h5                  | 0.485 | 0.254
FIP1L1_HEK293.h5               | 0.446 | 0.256
FKBP4_HepG2.h5                 | 0.455 | 0.261
FMR1_K562.h5                   | 0.446 | 0.254
FTO_K562.h5                    | 0.455 | 0.256
FUS_HEK293.h5                  | 0.455 | 0.251
FXR1_HEK293.h5                 | 0.436 | 0.252
FXR2_K562.h5                   | 0.465 | 0.255
G3BP1_HepG2.h5                 | 0.505 | 0.258
GEMIN5_K562.h5                 | 0.792 | 0.256
GNL3_K562.h5                   | 0.475 | 0.253
GPKOW_K562.h5                  | 0.436 | 0.253
GRWD1_K562.h5                  | 0.554 | 0.255
GTF2F1_K562.h5                 | 0.465 | 0.257
HLTF_K562.h5                   | 0.475 | 0.252
HNRNPA1_K562.h5                | 0.426 | 0.252
HNRNPC_Hela.h5                 | 0.426 | 0.251
HNRNPD_HEK293.h5               | 0.436 | 0.252
HNRNPF_HEK293T.h5              | 0.436 | 0.251
HNRNPK_K562.h5                 | 0.455 | 0.254
HNRNPUL1_K562.h5               | 0.436 | 0.252
IGF2BP1_K562.h5                | 0.436 | 0.253
IGF2BP2_HEK293.h5              | 0.446 | 0.253
IGF2BP3_HEK293.h5              | 0.455 | 0.252
ILF3_K562.h5                   | 0.455 | 0.253
KHDRBS1_K562.h5                | 0.436 | 0.252
KHSRP_K562.h5                  | 0.436 | 0.252
LARP4_HepG2.h5                 | 0.455 | 0.258
LARP7_K562.h5                  | 0.436 | 0.258
LIN28A_H9.h5                   | 0.446 | 0.252
LIN28B_K562.h5                 | 0.485 | 0.254
METAP2_K562.h5                 | 0.436 | 0.254
METTL14_Hela.h5                | 0.446 | 0.253
METTL3_Hela.h5                 | 0.475 | 0.255
MOV10_HEK293.h5                | 0.436 | 0.253
MTPAP_K562.h5                  | 0.446 | 0.254
NCBP2_HepG2.h5                 | 0.465 | 0.261
NIP7_HepG2.h5                  | 0.485 | 0.261
NIPBL_K562.h5                  | 0.495 | 0.253
NOLC1_K562.h5                  | 0.446 | 0.255
NONO_K562.h5                   | 0.485 | 0.254
NOP58_HEK293.h5                | 0.416 | 0.253
NPM1_K562.h5                   | 0.416 | 0.251
NUDT21_HEK293.h5               | 0.446 | 0.257
PABPC4_K562.h5                 | 0.436 | 0.252
PCBP1_K562.h5                  | 0.446 | 0.258
PCBP2_HepG2.h5                 | 0.465 | 0.259
PHF6_K562.h5                   | 0.455 | 0.257
PPIG_HepG2.h5                  | 0.455 | 0.259
PRPF4_HepG2.h5                 | 0.455 | 0.261
PRPF8_K562.h5                  | 0.495 | 0.254
PTBP1PTBP2_Hela.h5             | 0.465 | 0.251
PTBP1_Hela.h5                  | 0.436 | 0.254
PUM1_K562.h5                   | 0.436 | 0.253
PUM2_HEK293.h5                 | 0.436 | 0.250
PUS1_K562.h5                   | 0.465 | 0.253
QKI_HEK293.h5                  | 0.455 | 0.254
RBFOX2_HepG2.h5                | 0.455 | 0.260
RBM15_K562.h5                  | 0.455 | 0.255
RBM22_K562.h5                  | 0.446 | 0.253
RBM27_K562.h5                  | 0.446 | 0.254
RBPMS_HEK293.h5                | 0.624 | 0.253
RPS11_K562.h5                  | 0.465 | 0.254
RPS3_K562.h5                   | 0.436 | 0.254
RTCB_HEK293.h5                 | 0.446 | 0.253
SAFB2_K562.h5                  | 0.455 | 0.253
SBDS_K562.h5                   | 0.455 | 0.255
SDAD1_K562.h5                  | 0.455 | 0.259
SERBP1_K562.h5                 | 0.465 | 0.258
SF3A3_HepG2.h5                 | 0.693 | 0.259
SF3B1_K562.h5                  | 0.465 | 0.257
SF3B4_HepG2.h5                 | 0.505 | 0.263
SLBP_K562.h5                   | 0.446 | 0.252
SLTM_K562.h5                   | 0.455 | 0.255
SMNDC1_K562.h5                 | 0.465 | 0.255
SND1_K562.h5                   | 0.446 | 0.252
SRRM4_HEK293T.h5               | 0.446 | 0.252
SRSF1_HepG2.h5                 | 0.475 | 0.260
SRSF7_K562.h5                  | 0.475 | 0.254
SRSF9_HepG2.h5                 | 0.475 | 0.258
SUB1_HepG2.h5                  | 0.455 | 0.257
SUPV3L1_K562.h5                | 0.446 | 0.253
TAF15_HEK293.h5                | 0.436 | 0.252
TARDBP_K562.h5                 | 0.436 | 0.252
TBRG4_K562.h5                  | 0.446 | 0.254
TIA1_Hela.h5                   | 0.485 | 0.252
TIAL1_Hela.h5                  | 0.436 | 0.253
TNRC6A_K562.h5                 | 0.455 | 0.253
TRA2A_K562.h5                  | 0.554 | 0.254
TROVE2_K562.h5                 | 0.436 | 0.253
U2AF1_K562.h5                  | 0.426 | 0.254
U2AF65_Hela.h5                 | 0.446 | 0.255
UCHL5_K562.h5                  | 0.436 | 0.255
UPF1_Hela.h5                   | 0.455 | 0.253
UTP18_K562.h5                  | 0.505 | 0.253
UTP3_K562.h5                   | 0.505 | 0.257
WDR33_HEK293.h5                | 0.465 | 0.251
WDR3_K562.h5                   | 0.465 | 0.254
WDR43_K562.h5                  | 0.455 | 0.256
WRN_K562.h5                    | 0.436 | 0.258
WTAP_Hela.h5                   | 0.446 | 0.254
XRCC6_K562.h5                  | 0.446 | 0.255
XRN2_K562.h5                   | 0.426 | 0.254
YBX3_K562.h5                   | 0.446 | 0.257
YTHDF2_Hela.h5                 | 0.446 | 0.256
YWHAG_K562.h5                  | 0.465 | 0.254
ZC3H11A_HepG2.h5               | 0.455 | 0.256
ZC3H7B_HEK293.h5               | 0.455 | 0.252
ZNF622_K562.h5                 | 0.436 | 0.256
ZNF800_K562.h5                 | 0.446 | 0.254
ZRANB2_K562.h5                 | 0.465 | 0.257
eIF4AIII_Hela.h5               | 0.475 | 0.257
